go,go.etcd.io/etcd/client/pkg/v3,v3.5.17,ivxv.ee/sessionstatus,sessionstatus/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/v3.5.17.zip,public-verifiable,53eec0fd8ba35f7a58aff0fbccac3a779d485760edf28fb444e2100da351f5bc,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/pkg/v3,v3.5.17,ivxv.ee/sessionstatus/api,sessionstatus/api/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/v3.5.17.zip,public-verifiable,53eec0fd8ba35f7a58aff0fbccac3a779d485760edf28fb444e2100da351f5bc,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/pkg/v3,v3.5.17,ivxv.ee/smartid,smartid/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/v3.5.17.zip,public-verifiable,53eec0fd8ba35f7a58aff0fbccac3a779d485760edf28fb444e2100da351f5bc,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/pkg/v3,v3.5.17,ivxv.ee/storage,storage/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/v3.5.17.zip,public-verifiable,53eec0fd8ba35f7a58aff0fbccac3a779d485760edf28fb444e2100da351f5bc,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/pkg/v3,v3.5.17,ivxv.ee/verification,verification/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/v3.5.17.zip,public-verifiable,53eec0fd8ba35f7a58aff0fbccac3a779d485760edf28fb444e2100da351f5bc,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/pkg/v3,v3.5.17,ivxv.ee/votesorder,votesorder/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/v3.5.17.zip,public-verifiable,53eec0fd8ba35f7a58aff0fbccac3a779d485760edf28fb444e2100da351f5bc,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/pkg/v3,v3.5.17,ivxv.ee/voting,voting/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/v3.5.17.zip,public-verifiable,53eec0fd8ba35f7a58aff0fbccac3a779d485760edf28fb444e2100da351f5bc,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/pkg/v3,v3.5.17,ivxv.ee/webeid,webeid/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/pkg/v3/@v/v3.5.17.zip,public-verifiable,53eec0fd8ba35f7a58aff0fbccac3a779d485760edf28fb444e2100da351f5bc,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:XxnDXAWq2pnxqx76ljWwiQ9jylbpC4rvkAeRVOUKKVw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/choices,choices/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/common/collector,common/collector/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=false; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/mid,mid/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/sessionstatus,sessionstatus/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/sessionstatus/api,sessionstatus/api/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/smartid,smartid/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/storage,storage/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=false; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/verification,verification/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/votesorder,votesorder/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/voting,voting/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.etcd.io/etcd/client/v3,v3.5.17,ivxv.ee/webeid,webeid/go.mod,common/external/go module cache,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/,https://proxy.golang.org/go.etcd.io/etcd/client/v3/@v/v3.5.17.zip,public-verifiable,8702a3e4fc0ff9c44d1aa1e44dc81b9a82b1cdaaf010755ab0e35a39a43c9674,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:o48sINNeWz5+pjy/Z0+HKpj/xSnBkuVhVvXkjEXbqZY=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/choices,choices/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/common/collector,common/collector/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/mid,mid/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/sessionstatus,sessionstatus/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/sessionstatus/api,sessionstatus/api/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/smartid,smartid/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/storage,storage/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/verification,verification/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/votesorder,votesorder/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/voting,voting/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/atomic,v1.7.0,ivxv.ee/webeid,webeid/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/atomic/@v/,https://proxy.golang.org/go.uber.org/atomic/@v/v1.7.0.zip,public-verifiable,0417b4203eb1454a0eeda59e79f426c27fcfb9e3c74077060303429cc16db307,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:ADUqmZGgLDDfbSL9ZmPxKTybcoEYHgpYfELNoN+7hsw=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/choices,choices/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/common/collector,common/collector/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/mid,mid/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/sessionstatus,sessionstatus/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/sessionstatus/api,sessionstatus/api/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/smartid,smartid/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/storage,storage/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/verification,verification/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/votesorder,votesorder/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/voting,voting/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/multierr,v1.6.0,ivxv.ee/webeid,webeid/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/multierr/@v/,https://proxy.golang.org/go.uber.org/multierr/@v/v1.6.0.zip,public-verifiable,5238ef4df5394e9b69cc2062592476ab5d8bafa4b876e2aff5413de9b5c05a27,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:y6IPFStTAIT5Ytl7/XYmHvzXQ7S3g/IeZW9hyZ5thw4=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/zap,v1.17.0,ivxv.ee/choices,choices/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/zap/@v/,https://proxy.golang.org/go.uber.org/zap/@v/v1.17.0.zip,public-verifiable,5c8df9933344fa8418b7fa2c2e591c79db1b47f7c770bf92b3797abc32932d1d,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:MTjgFu6ZLKvY6Pvaqk97GlxNBuMpV4Hy/3P6tRGlI2U=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/zap,v1.17.0,ivxv.ee/common/collector,common/collector/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/zap/@v/,https://proxy.golang.org/go.uber.org/zap/@v/v1.17.0.zip,public-verifiable,5c8df9933344fa8418b7fa2c2e591c79db1b47f7c770bf92b3797abc32932d1d,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:MTjgFu6ZLKvY6Pvaqk97GlxNBuMpV4Hy/3P6tRGlI2U=; go.mod hash absent; indirect=true; verification=proxy-verified
go,go.uber.org/zap,v1.17.0,ivxv.ee/mid,mid/go.mod,common/external/go module cache,https://proxy.golang.org/go.uber.org/zap/@v/,https://proxy.golang.org/go.uber.org/zap/@v/v1.17.0.zip,public-verifiable,5c8df9933344fa8418b7fa2c2e591c79db1b47f7c770bf92b3797abc32932d1d,Go checksum/SumDB model; no detached archive signature,unknown,evidence/go/declared-modules.tsv; evidence/go/proxy-artifacts.tsv,go.sum ZIP hash h1:MTjgFu6ZLKvY6Pvaqk97GlxNBuMpV4Hy/3P6tRGlI2U=; go.mod hash absent; indirect=true; verification=proxy-verified
